CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
100000,697,France,Female,41,3,117211.57,2,1,0,99383.53,0
100001,637,France,Female,32,9,41718.91,2,1,0,20553.74,0
100002,712,Germany,Male,43,1,138113.14,1,1,1,88487.09,0
100003,795,Germany,Female,39,1,45150.61,2,0,0,120694.2,1
100004,628,France,Female,33,7,27515.78,2,0,1,191328.05,0
100005,628,Spain,Male,44,0,28898.41,2,1,0,110596.17,0
100006,800,France,Female,57,6,0.0,2,1,0,166534.86,0
100007,723,Germany,Male,37,4,105235.63,3,1,0,116218.61,0
100008,605,Germany,Male,46,10,0.0,2,1,1,22545.23,0
100009,702,Spain,Male,26,7,0.0,1,1,1,73276.53,0
100010,606,Germany,Male,29,0,0.0,2,1,1,121476.66,0
100011,606,Spain,Female,44,10,70663.68,1,0,0,190859.88,0
100012,673,France,Female,54,6,66680.13,1,1,0,173939.12,0
100013,468,Spain,Female,43,4,55744.83,1,0,0,57245.79,0
100014,486,France,Male,36,3,11360.18,2,1,0,55720.32,0
100015,597,Spain,Female,39,6,3321.51,2,1,1,52217.0,0
100016,554,Germany,Female,26,9,104790.93,1,1,1,185662.3,0
100017,680,Spain,Male,45,1,41865.78,1,1,0,172743.24,1
100018,564,France,Male,48,0,95614.22,1,1,1,158353.43,0
100019,516,Germany,Female,34,0,21114.58,2,1,0,87656.0,0
100020,789,Germany,Male,34,10,87225.89,1,0,1,108310.43,0
100021,629,Germany,Male,42,0,156803.24,2,1,0,100901.37,0
100022,656,France,Male,35,4,112342.28,1,0,0,61878.65,0
100023,515,France,Male,38,9,50430.34,1,1,0,108430.19,0
100024,598,France,Female,60,6,91946.34,1,0,0,20641.86,0
100025,661,France,Male,37,1,61078.76,1,0,1,39384.92,0
100026,541,Spain,Male,35,9,76488.57,2,1,0,179019.08,0
100027,686,France,Male,33,7,55812.11,1,1,0,154060.76,0
100028,593,Spain,Male,46,3,65811.22,1,1,1,93230.66,0
100029,622,France,Male,37,2,89149.79,1,0,1,110672.82,0
100030,593,France,Male,33,9,14411.76,1,1,1,83449.79,0
100031,826,Spain,Male,52,10,13015.51,1,0,0,152044.28,0
100032,649,Germany,Male,53,7,0.0,1,1,1,160074.63,1
100033,550,France,Female,33,1,0.0,2,1,1,156207.76,0
100034,728,Germany,Male,20,10,528.47,2,1,0,148683.17,1
100035,534,Germany,Female,49,10,85886.68,1,1,0,52833.3,0
100036,670,France,Male,32,2,20647.17,1,1,0,77524.45,0
100037,464,Spain,Male,47,2,107844.1,3,1,0,101921.41,0
100038,524,Spain,Male,19,9,78152.25,1,1,0,76196.7,0
100039,669,Germany,Male,48,10,0.0,1,1,0,154663.94,0
100040,720,France,Female,27,0,116608.49,1,1,1,75930.4,1
100041,666,Germany,Male,46,5,126269.52,1,0,1,40572.94,0
100042,639,France,Male,39,1,14380.51,2,1,1,88822.48,0
100043,621,France,Female,29,0,102051.88,1,1,1,196284.17,0
100044,510,France,Female,35,1,22897.11,2,1,0,56788.06,0
100045,582,France,Male,46,5,82055.56,1,0,1,128249.35,0
100046,606,Spain,Female,40,3,0.0,1,0,1,95100.01,0
100047,750,Germany,Female,45,5,0.0,2,1,0,28139.55,1
100048,683,Germany,Female,59,8,52265.33,1,1,1,105257.17,0
100049,483,France,Male,23,9,68328.81,2,0,1,144900.4,0
100050,681,France,Male,55,9,51343.86,1,1,1,109945.7,0
100051,613,France,Male,40,7,2590.11,2,1,1,176339.62,0
100052,586,Spain,Female,30,0,51206.26,1,1,0,68453.35,0
100053,708,France,Male,26,7,92696.27,2,0,0,30956.1,0
100054,748,Spain,Female,37,8,73216.63,1,0,0,188264.64,0
100055,738,Germany,Male,48,5,87315.06,2,1,1,84966.32,0
100056,570,France,Male,38,9,34452.86,1,0,1,121635.03,0
100057,621,Germany,Female,54,4,148646.51,2,0,1,161520.58,0
